"bloco","bairro","regiao","data","data_relativa","concentracao","desfile","final","local_da_concentracao","percurso","publico_estimado","ano_do_primeiro_desfile","label","lon","lat"
"Xodó da Piedade","Piedade","Zona Norte 2",2018-01-07,"Domingo - 5 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua mario carpenter rio de janeiro","PARADO",1500,1972,"Bloco: Xodó da Piedade - Bairro: Piedade - Regiao: Zona Norte 2Data: 2018-01-07 - Concentração 16:00:00",-43.2974783,-22.8882707
"Bloco do Limão","Jardim América","Zona Norte 2",2018-01-13,"Sábado - 4 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca rivadavia c maia rio de janeiro","Parado",800,2010,"Bloco: Bloco do Limão - Bairro: Jardim América - Regiao: Zona Norte 2Data: 2018-01-13 - Concentração 16:00:00",NA,NA
"Seu Kuka é Eu do Grajaú","Grajaú","Tijuca e Adj",2018-01-13,"Sábado – 4 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"largo maria martha ward rio de janeiro","Parado",1200,2008,"Bloco: Seu Kuka é Eu do Grajaú - Bairro: Grajaú - Regiao: Zona Norte 2Data: 2018-01-13 - Concentração 16:00:00",-43.2597685,-22.9203851
"Unidos do Rego Barros","Santo Cristo","Centro",2018-01-13,"Terça de Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"rua rego barros rio de janeiro","Rua Rego Barros até o fim da rua Nabuco de Freitas, e termina na Rua Rego Barros",400,2012,"Bloco: Unidos do Rego Barros - Bairro: Santo Cristo - Regiao: Zona Norte 2Data: 2018-01-13 - Concentração 16:00:00",-43.1970347,-22.9034339
"Vou Treinar e Volto Já","Tijuca","Tijuca e Adj",2018-01-13,"Sábado - 4 semanas antes do Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 19:00:00,"rua martins pena rio de janeiro","Rua Martins Pena, Rua Afonso Pena, Rua Haddock Lobo, Rua Campos Sales, Rua Martins Pena",500,2010,"Bloco: Vou Treinar e Volto Já - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-01-13 - Concentração 15:00:00",-43.2180326,-22.9173917
"Banda da Zulmira","Maracanã","Tijuca e Adj",2018-01-14,"Domingo - 4 semanas antes do Carnaval",1899-12-31 14:00:00,1899-12-31 14:00:00,1899-12-31 20:00:00,"praca niteroi  rua dona zulmira e rua felipe camarao rio de janeiro","Parado",400,2014,"Bloco: Banda da Zulmira - Bairro: Maracanã - Regiao: Zona Norte 2Data: 2018-01-14 - Concentração 14:00:00",NA,NA
"Xodó da Piedade","Piedade","Zona Norte 2",2018-01-14,"Domingo - 4 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"rua mario carpenter rio de janeiro","PARADO",1500,1972,"Bloco: Xodó da Piedade - Bairro: Piedade - Regiao: Zona Norte 2Data: 2018-01-14 - Concentração 16:00:00",-43.2974783,-22.8882707
"Banda de Ipanema - Ensaio","Ipanema","Zona Sul",2018-01-20,"Sábado - 3 semanas antes do Carnaval",1899-12-31 15:00:00,1899-12-31 17:30:00,1899-12-31 21:00:00,"praca general osorio rio de janeiro","Praça General Osório - Parado",5000,1965,"Bloco: Banda de Ipanema - Ensaio - Bairro: Ipanema - Regiao: Zona Norte 2Data: 2018-01-20 - Concentração 15:00:00",-43.1978183,-22.9851806
"Bloco Carnavalesco Sempre Vila","Vila isabel","Tijuca e Adj",2018-01-20,"Sábado – 3 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"rua sousa franco rio de janeiro","Início na Rua Sousa Franco com a esquina Torres Homem, Término na Rua Sousa Franco com 28 de Setembro",1000,2018,"Bloco: Bloco Carnavalesco Sempre Vila - Bairro: Vila isabel - Regiao: Zona Norte 2Data: 2018-01-20 - Concentração 14:00:00",NA,NA
"Bloco do Limão","Jardim América","Zona Norte 2",2018-01-20,"Sábado - 3 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca rivadavia c maia rio de janeiro","Parado",800,2010,"Bloco: Bloco do Limão - Bairro: Jardim América - Regiao: Zona Norte 2Data: 2018-01-20 - Concentração 16:00:00",NA,NA
