"book","line","text"
"br",1,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",2,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",3,"RT @CanarinhoFuzil: JÁ VOU LOGO AVISANDO ;
Começou a copa do mundo o primeiro que eu ver torcendo contra o Brasil eu vou deitar na porrada.…"
"br",4,"RT @HudsonHNunes: Só DEUS sabe o quanto eu esperei por esse dia!
HOJE TEM BRASIL PAI

VAMOOSSSSS QUE A COPA COMEÇA HOJE!

Voa #Canarinho 
#…"
"br",5,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",6,"RT @guicasarsa_: dr estranho: eu avancei no tempo para acessar os 14 milhões possíveis resultados da copa do mundo.
brasil: quantos a gente…"
"br",7,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",8,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",9,"""Respeita minha história carai"" 
Ass: Brasil na Copa"
"br",10,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",11,"RT @yuru6ix: #NewProfilePic
HOJE TEM BRASIL 
6K DE COPA DO MUNDO https://t.co/Qon76beDU5"
"br",12,"RT @springspjm: Brasileiro é um bicho estranho mesmo ne, critica o Brasil todo dia pra chegar na copa e usar ate pack editada de seleção br…"
"br",13,"QUEE VÍDEO EMOCIONANTE DO BRASIL, NA CENTRAL DA COPA <f0><U+009F><U+0092><U+009A><f0><U+009F><U+0092><U+009B>"
"br",14,"Gente to tao desacreditada/desanimada pra essa copa que nao tenho nada do Brasil kkkk cada (k) é uma lagrima"
"br",15,"RT @InfosFuteboI: Marcelo será o capitão do Brasil na estréia do time na Copa do Mundo! https://t.co/Cg2LQ93C3e"
"br",16,"O Brasil merece ganhar a copa por esse cara https://t.co/qQMIcGKPjn"
